original_city,original_neighbourhood,standardized_city,standardized_neighbourhood,autonomous_community
madrid,Legazpi,Madrid,Legazpi,Comunidad de Madrid
sevilla,Feria,Sevilla,Feria,Andalucía
sevilla,"San Lorenzo",Sevilla,"San Lorenzo",Andalucía
girona,Girona,Girona,Girona,Cataluña
mallorca,"Ses Salines",Palma,"Ses Salines",Islas Baleares
barcelona,"la Salut",Barcelona,"La Salut",Cataluña
sevilla,Museo,Sevilla,Museo,Andalucía
sevilla,"Encarnaci�n, Regina",Sevilla,"Encarnación, Regina",Andalucía
girona,Cadaqu�s,Girona,Cadaqués,Cataluña
mallorca,Manacor,Palma,Manacor,Islas Baleares
menorca,Mah�n,Menorca,Mahón,Islas Baleares
mallorca,Felanitx,Palma,Felanitx,Islas Baleares
girona,"L'Escala",Girona,"L'Escala",Cataluña
barcelona,"la Barceloneta",Barcelona,"La Barceloneta",Cataluña
valencia,"LA ROQUETA",Valencia,"La Roqueta",Comunidad Valenciana
mallorca,Puigpunyent,Palma,Puigpunyent,Islas Baleares
mallorca,Lloseta,Palma,Lloseta,Islas Baleares
barcelona,Sarri�,Barcelona,Sarrià,Cataluña
mallorca,Petra,Palma,Petra,Islas Baleares
girona,Palam�s,Girona,Palamós,Cataluña
malaga,"Carretera de Cadiz",Málaga,"Carretera de Cádiz",Andalucía
madrid,"Ciudad Universitaria",Madrid,"Ciudad Universitaria",Comunidad de Madrid
girona,Celr�,Girona,Celrà,Cataluña
mallorca,Llucmajor,Palma,Llucmajor,Islas Baleares
mallorca,Algaida,Palma,Algaida,Islas Baleares
madrid,Valdeacederas,Madrid,Valdeacederas,Comunidad de Madrid
girona,"Castell-Platja d'Aro",Girona,"Castell-Platja d'Aro",Cataluña
sevilla,"San Bernardo",Sevilla,"San Bernardo",Andalucía
girona,Cabanelles,Girona,Cabanelles,Cataluña
girona,"Torroella de Montgr�",Girona,"Torroella de Montgrí",Cataluña
barcelona,"Can Bar�",Barcelona,"Can Baró",Cataluña
barcelona,"Sant Gervasi - la Bonanova",Barcelona,"Sant Gervasi - la Bonanova",Cataluña
madrid,Arg�elles,Madrid,Argüelles,Comunidad de Madrid
sevilla,"Triana Casco Antiguo",Sevilla,"Triana Casco Antiguo",Andalucía
mallorca,Campanet,Palma,Campanet,Islas Baleares
madrid,Trafalgar,Madrid,Trafalgar,Comunidad de Madrid
mallorca,Fornalutx,Palma,Fornalutx,Islas Baleares
girona,"La Selva de Mar",Girona,"La Selva de Mar",Cataluña
girona,Llan��,Girona,Llançà,Cataluña
valencia,MORVEDRE,Valencia,Morvedre,Comunidad Valenciana
madrid,Pac�fico,Madrid,Pacífico,Comunidad de Madrid
barcelona,"Proven�als del Poblenou",Barcelona,"Provençals del Poblenou",Cataluña
barcelona,"Sants - Badal",Barcelona,"Sants-Badal",Cataluña
barcelona,"el Carmel",Barcelona,"El Carmel",Cataluña
valencia,"PENYA-ROJA",Valencia,"Penya-Roja",Comunidad Valenciana
mallorca,Marratx�,Palma,Marratxí,Islas Baleares
madrid,"Vista Alegre",Madrid,"Vista Alegre",Comunidad de Madrid
valencia,"LA CARRASCA",Valencia,"La Carrasca",Comunidad Valenciana
girona,"Sant Feliu de Gu�xols",Girona,"Sant Feliu de Guíxols",Cataluña
barcelona,"Diagonal Mar i el Front Mar�tim del Poblenou",Barcelona,"Diagonal Mar i el Front Marítim del Poblenou",Cataluña
sevilla,"San Gil",Sevilla,"San Gil",Andalucía
barcelona,"Sant Gervasi - Galvany",Barcelona,"Sant Gervasi - Galvany",Cataluña
madrid,"El Viso",Madrid,"El Viso",Comunidad de Madrid
barcelona,"la Marina del Prat Vermell",Barcelona,"La Marina del Prat Vermell",Cataluña
valencia,"EL CALVARI",Valencia,"El Calvario",Comunidad Valenciana
madrid,Goya,Madrid,Goya,Comunidad de Madrid
barcelona,"la Bordeta",Barcelona,"La Bordeta",Cataluña
malaga,"Palma-Palmilla",Málaga,"Palma-Palmilla",Andalucía
madrid,Atocha,Madrid,Atocha,Comunidad de Madrid
girona,Blanes,Girona,Blanes,Cataluña
mallorca,"Santa Mar�a del Cam�",Palma,"Santa María del Camí",Islas Baleares
mallorca,Escorca,Palma,Escorca,Islas Baleares
madrid,Almenara,Madrid,Almenara,Comunidad de Madrid
girona,Pont�s,Girona,Pontós,Cataluña
sevilla,"Le�n XIII, Los Naranjos",Sevilla,"León XIII, Los Naranjos",Andalucía
mallorca,"Sant Lloren� des Cardassar",Palma,"Sant Llorenç des Cardassar",Islas Baleares
menorca,"Sant Llu�s",Menorca,"Sant Lluís",Islas Baleares
madrid,Lista,Madrid,Lista,Comunidad de Madrid
sevilla,"San Pablo A y B",Sevilla,"San Pablo",Andalucía
girona,"La Vall de Bianya",Girona,"La Vall de Bianya",Cataluña
barcelona,"la Marina de Port",Barcelona,"La Marina de Port",Cataluña
barcelona,Pedralbes,Barcelona,Pedralbes,Cataluña
malaga,Churriana,Málaga,Churriana,Andalucía
barcelona,"Sant Gen�s dels Agudells",Barcelona,"Sant Genís dels Agudells",Cataluña
mallorca,Art�,Palma,Artà,Islas Baleares
girona,Ripoll,Girona,Ripoll,Cataluña
barcelona,"el Baix Guinard�",Barcelona,"El Baix Guinardó",Cataluña
girona,Albons,Girona,Albons,Cataluña
girona,Calonge,Girona,Calonge,Cataluña
girona,Tortell�,Girona,Tortellà,Cataluña
girona,Ordis,Girona,Ordis,Cataluña
mallorca,Muro,Palma,Muro,Islas Baleares
mallorca,Alar�,Palma,Alaró,Islas Baleares
mallorca,"Son Servera",Palma,"Son Servera",Islas Baleares
barcelona,"la Maternitat i Sant Ramon",Barcelona,"La Maternitat i Sant Ramon",Cataluña
madrid,"Rios Rosas",Madrid,"Ríos Rosas",Comunidad de Madrid
mallorca,"Lloret de Vistalegre",Palma,"Lloret de Vistalegre",Islas Baleares
valencia,"LA GRAN VIA",Valencia,"La Gran Vía",Comunidad Valenciana
mallorca,Capdepera,Palma,Capdepera,Islas Baleares
madrid,"Hispanoam�rica",Madrid,"Hispanoamérica",Comunidad de Madrid
girona,"Cornell� del Terri",Girona,"Cornellà del Terri",Cataluña
mallorca,Esporles,Palma,Esporles,Islas Baleares
sevilla,"Pedro Salvador, Las Palmeritas",Sevilla,"Pedro Salvador, Las Palmeritas",Andalucía
valencia,AIORA,Valencia,Aiora,Comunidad Valenciana
mallorca,B�ger,Palma,Búger,Islas Baleares
girona,Llad�,Girona,Lladó,Cataluña
girona,"Palau de Santa Eul�lia",Girona,"Palau de Santa Eulàlia",Cataluña
sevilla,"Giralda Sur",Sevilla,"Giralda Sur",Andalucía
barcelona,"la Verneda i la Pau",Barcelona,"La Verneda i la Pau",Cataluña
madrid,Delicias,Madrid,Delicias,Comunidad de Madrid
malaga,"Teatinos-Universidad",Málaga,"Teatinos-Universidad",Andalucía
girona,Vilademuls,Girona,Vilademuls,Cataluña
girona,Figueres,Girona,Figueres,Cataluña
sevilla,"Ciudad Jard�n",Sevilla,"Ciudad Jardín",Andalucía
girona,Pals,Girona,Pals,Cataluña
barcelona,"el Congr�s i els Indians",Barcelona,"El Congrés i els Indians",Cataluña
madrid,Castillejos,Madrid,Castillejos,Comunidad de Madrid
barcelona,"el Bes�s i el Maresme",Barcelona,"El Besòs i el Maresme",Cataluña
madrid,Almagro,Madrid,Almagro,Comunidad de Madrid
madrid,Imperial,Madrid,Imperial,Comunidad de Madrid
valencia,MESTALLA,Valencia,Mestalla,Comunidad Valenciana
valencia,"EL PLA DEL REMEI",Valencia,"El Pla del Remei",Comunidad Valenciana
madrid,Castellana,Madrid,Castellana,Comunidad de Madrid
valencia,"EL MERCAT",Valencia,"El Mercat",Comunidad Valenciana
madrid,Ibiza,Madrid,Ibiza,Comunidad de Madrid
valencia,"LA MALVA-ROSA",Valencia,"La Malva-Rosa",Comunidad Valenciana
mallorca,Dey�,Palma,Deià,Islas Baleares
madrid,Simancas,Madrid,Simancas,Comunidad de Madrid
barcelona,Montbau,Barcelona,Montbau,Cataluña
mallorca,Binissalem,Palma,Binissalem,Islas Baleares
madrid,"Casco Hist�rico de Vallecas",Madrid,Vallecas,Comunidad de Madrid
valencia,"LA XEREA",Valencia,"La Xerea",Comunidad Valenciana
valencia,CAMPANAR,Valencia,Campanar,Comunidad Valenciana
girona,Alp,Girona,Alp,Cataluña
sevilla,"Cruz Roja, Capuchinos",Sevilla,"Cruz Roja, Capuchinos",Andalucía
madrid,Ventas,Madrid,Ventas,Comunidad de Madrid
sevilla,"Carretera de Carmona, Mar�a Auxiliadora, Fontanal",Sevilla,"Carretera de Carmona, María Auxiliadora, Fontanal",Andalucía
valencia,"SANT FRANCESC",Valencia,"Sant Francesc",Comunidad Valenciana
barcelona,Hostafrancs,Barcelona,Hostafrancs,Cataluña
barcelona,"la Vall d'Hebron",Barcelona,"La Vall d'Hebron",Cataluña
valencia,"LA RAIOSA",Valencia,"La Raiosa",Comunidad Valenciana
madrid,"Pueblo Nuevo",Madrid,"Pueblo Nuevo",Comunidad de Madrid
sevilla,"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Eden",Sevilla,"Palacio de Congresos, Urbadiez, Entrepuentes, Jardines del Eden",Andalucía
girona,"Palau-sator",Girona,"Palau-sator",Cataluña
girona,Fontanilles,Girona,Fontanilles,Cataluña
mallorca,"Sa Pobla",Palma,"Sa Pobla",Islas Baleares
madrid,Abrantes,Madrid,Abrantes,Comunidad de Madrid
madrid,Gaztambide,Madrid,Gaztambide,Comunidad de Madrid
girona,Ur�s,Girona,Urús,Cataluña
girona,Llers,Girona,Llers,Cataluña
girona,"Sant Mori",Girona,"Sant Mori",Cataluña
girona,Madremanya,Girona,Madremanya,Cataluña
barcelona,Navas,Barcelona,Navas,Cataluña
girona,Pardines,Girona,Pardines,Cataluña
girona,"Sant Mart� Vell",Girona,"Sant Martí Vell",Cataluña
madrid,"San Diego",Madrid,"San Diego",Comunidad de Madrid
madrid,Guindalera,Madrid,Guindalera,Comunidad de Madrid
girona,Vila�r,Girona,Vilaür,Cataluña
girona,Vidr�,Girona,Vidré,Cataluña
madrid,"San Pascual",Madrid,"San Pascual",Comunidad de Madrid
mallorca,"Maria de la Salut",Palma,"Maria de la Salut",Islas Baleares
valencia,"CIUTAT UNIVERSITARIA",Valencia,"Ciutat Universitària",Comunidad Valenciana
valencia,"MONT-OLIVET",Valencia,"Mont-Olivet",Comunidad Valenciana
valencia,"SANT ANTONI",Valencia,"Sant Antoni",Comunidad Valenciana
barcelona,"Sant Mart� de Proven�als",Barcelona,"Sant Martí de Provençals",Cataluña
girona,"Sant Jordi Desvalls",Girona,"Sant Jordi Desvalls",Cataluña
girona,"Sant Feliu de Buixalleu",Girona,"Sant Feliu de Buixalleu",Cataluña
barcelona,"el Guinard�",Barcelona,"El Guinardó",Cataluña
madrid,Valdefuentes,Madrid,Valdefuentes,Comunidad de Madrid
madrid,Concepci�n,Madrid,Concepción,Comunidad de Madrid
valencia,"EL BOTANIC",Valencia,"El Botànic",Comunidad Valenciana
sevilla,"La Buhaira",Sevilla,"La Buhaira",Andalucía
girona,Bescan�,Girona,Bescanó,Cataluña
madrid,Jer�nimos,Madrid,Jerónimos,Comunidad de Madrid
sevilla,"Triana Este",Sevilla,"Triana Este",Andalucía
madrid,"Casa de Campo",Madrid,"Casa de Campo",Comunidad de Madrid
barcelona,"Ciutat Meridiana",Barcelona,"Ciutat Meridiana",Cataluña
barcelona,"la Teixonera",Barcelona,"La Teixonera",Cataluña
madrid,Numancia,Madrid,Numancia,Comunidad de Madrid
girona,Masarac,Girona,Masarac,Cataluña
girona,Vidreres,Girona,Vidreres,Cataluña
girona,"Sant Ferriol",Girona,"Sant Ferriol",Cataluña
girona,"Ribes de Freser",Girona,"Ribes de Freser",Cataluña
madrid,Moscard�,Madrid,Moscardó,Comunidad de Madrid
mallorca,Consell,Palma,Consell,Islas Baleares
valencia,BENIMACLET,Valencia,Benimaclet,Comunidad Valenciana
girona,Vilabertran,Girona,Vilabertran,Cataluña
valencia,"CABANYAL-CANYAMELAR",Valencia,"Cabanyal-Canyamelar",Comunidad Valenciana
madrid,Vallehermoso,Madrid,Vallehermoso,Comunidad de Madrid
madrid,Vinateros,Madrid,Vinateros,Comunidad de Madrid
sevilla,"Doctor Barraquer, G. Renfe, Policl�nico",Sevilla,"Doctor Barraquer, G. Renfe, Policlínico",Andalucía
girona,Campelles,Girona,Campelles,Cataluña
madrid,Canillas,Madrid,Canillas,Comunidad de Madrid
madrid,"Puerta del Angel",Madrid,"Puerta del Ángel",Comunidad de Madrid
mallorca,Andratx,Palma,Andratx,Islas Baleares
barcelona,Verdun,Barcelona,Verdun,Cataluña
girona,"El Port de la Selva",Girona,"El Port de la Selva",Cataluña
girona,"Santa Cristina d'Aro",Girona,"Santa Cristina d'Aro",Cataluña
girona,Seriny�,Girona,Serinyà,Cataluña
girona,Banyoles,Girona,Banyoles,Cataluña
malaga,"Bailen-Miraflores",Málaga,"Bailén-Miraflores",Andalucía
girona,"Cru�lles, Monells i Sant Sadurn� de l'Heura",Girona,"Cruïlles, Monells i Sant Sadurní de l'Heura",Cataluña
girona,"Montagut i Oix",Girona,"Montagut i Oix",Cataluña
mallorca,Montu�ri,Palma,Montuïri,Islas Baleares
girona,Olot,Girona,Olot,Cataluña
barcelona,"el Tur� de la Peira",Barcelona,"El Turó de la Peira",Cataluña
sevilla,"Santa Catalina",Sevilla,"Santa Catalina",Andalucía
barcelona,"la Guineueta",Barcelona,"La Guineueta",Cataluña
girona,Ventall�,Girona,Ventalló,Cataluña
madrid,Arapiles,Madrid,Arapiles,Comunidad de Madrid
barcelona,Porta,Barcelona,Porta,Cataluña
madrid,Palomas,Madrid,Palomas,Comunidad de Madrid
mallorca,"Mancor de la Vall",Palma,"Mancor de la Vall",Islas Baleares
madrid,Fontarr�n,Madrid,Fontarrón,Comunidad de Madrid
girona,Camprodon,Girona,Camprodon,Cataluña
sevilla,"Colores, Entreparques",Sevilla,"Colores, Entreparques",Andalucía
madrid,Chopera,Madrid,Chopera,Comunidad de Madrid
sevilla,"Pio XII",Sevilla,"Pío XII",Andalucía
valencia,MARXALENES,Valencia,Marxalenes,Comunidad Valenciana
madrid,Campamento,Madrid,Campamento,Comunidad de Madrid
madrid,Pilar,Madrid,Pilar,Comunidad de Madrid
valencia,"CIUTAT JARDI",Valencia,"Ciutat Jardí",Comunidad Valenciana
mallorca,Sineu,Palma,Sineu,Islas Baleares
sevilla,"La Florida",Sevilla,"La Florida",Andalucía
madrid,Quintana,Madrid,Quintana,Comunidad de Madrid
madrid,"San Andr�s",Madrid,"San Andrés",Comunidad de Madrid
madrid,"Alameda de Osuna",Madrid,"Alameda de Osuna",Comunidad de Madrid
girona,"La Bisbal d'Emporda",Girona,"La Bisbal d'Empordà",Cataluña
girona,Peralada,Girona,Peralada,Cataluña
madrid,Valdezarza,Madrid,Valdezarza,Comunidad de Madrid
barcelona,"el Bon Pastor",Barcelona,"El Bon Pastor",Cataluña
sevilla,"Huerta de la Salud",Sevilla,"Huerta de la Salud",Andalucía
mallorca,Sencelles,Palma,Sencelles,Islas Baleares
madrid,"Fuente del Berro",Madrid,"Fuente del Berro",Comunidad de Madrid
sevilla,"El Roc�o",Sevilla,"El Rocío",Andalucía
sevilla,"Triana Oeste",Sevilla,"Triana Oeste",Andalucía
madrid,"Puerta Bonita",Madrid,"Puerta Bonita",Comunidad de Madrid
mallorca,Ariany,Palma,Ariany,Islas Baleares
madrid,Berruguete,Madrid,Berruguete,Comunidad de Madrid
valencia,"ELS ORRIOLS",Valencia,"Els Orriols",Comunidad Valenciana
valencia,PATRAIX,Valencia,Patraix,Comunidad Valenciana
madrid,Adelfas,Madrid,Adelfas,Comunidad de Madrid
madrid,"San Juan Bautista",Madrid,"San Juan Bautista",Comunidad de Madrid
madrid,Piovera,Madrid,Piovera,Comunidad de Madrid
girona,"Sant Pere Pescador",Girona,"Sant Pere Pescador",Cataluña
valencia,"NOU MOLES",Valencia,"Nou Moles",Comunidad Valenciana
girona,Sils,Girona,Sils,Cataluña
girona,Amer,Girona,Amer,Cataluña
madrid,"La Paz",Madrid,"La Paz",Comunidad de Madrid
girona,"Bellcaire d'Empord�",Girona,"Bellcaire d'Empordà",Cataluña
madrid,"Bellas Vistas",Madrid,"Bellas Vistas",Comunidad de Madrid
sevilla,Nervi�n,Sevilla,Nervión,Andalucía
menorca,"Es Castell",Menorca,"Es Castell",Islas Baleares
madrid,"Palomeras Sureste",Madrid,"Palomeras Sureste",Comunidad de Madrid
mallorca,"Santa Eug�nia",Palma,"Santa Eugènia",Islas Baleares
sevilla,"El Carmen",Sevilla,"El Carmen",Andalucía
mallorca,Bunyola,Palma,Bunyola,Islas Baleares
valencia,"EL PERELLONET",Valencia,"El Perellonet",Comunidad Valenciana
malaga,"Ciudad Jardin",Málaga,"Ciudad Jardín",Andalucía
madrid,Almendrales,Madrid,Almendrales,Comunidad de Madrid
valencia,FAVARA,Valencia,Favara,Comunidad Valenciana
madrid,Buenavista,Madrid,Buenavista,Comunidad de Madrid
mallorca,Banyalbufar,Palma,Banyalbufar,Islas Baleares
girona,Aiguaviva,Girona,Aiguaviva,Cataluña
girona,Besal�,Girona,Besalú,Cataluña
madrid,"Nueva Espa�a",Madrid,"Nueva España",Comunidad de Madrid
girona,Jafre,Girona,Jafre,Cataluña
mallorca,"Vilafranc de Bonany",Palma,"Vilafranca de Bonany",Islas Baleares
madrid,Costillares,Madrid,Costillares,Comunidad de Madrid
girona,"L'Armentera",Girona,"L'Armentera",Cataluña
girona,Ull�,Girona,Ullà,Cataluña
valencia,"VARA DE QUART",Valencia,"Vara de Quart",Comunidad Valenciana
madrid,Valverde,Madrid,Valverde,Comunidad de Madrid
valencia,BENICALAP,Valencia,Benicalap,Comunidad Valenciana
madrid,Mirasierra,Madrid,Mirasierra,Comunidad de Madrid
girona,"Sales de Llierca",Girona,"Sales de Llierca",Cataluña
girona,Saus,Girona,Saus,Cataluña
madrid,Pe�agrande,Madrid,Peñagrande,Comunidad de Madrid
girona,Osor,Girona,Osor,Cataluña
madrid,"Casco Hist�rico de Barajas",Madrid,Barajas,Comunidad de Madrid
barcelona,Vallbona,Barcelona,Vallbona,Cataluña
valencia,"SANT LLORENS",Valencia,"Sant Llorenç",Comunidad Valenciana
girona,Vilamaniscle,Girona,Vilamaniscle,Cataluña
sevilla,"San Jos� Obrero",Sevilla,"San José Obrero",Andalucía
sevilla,"La Palmilla, Doctor Mara��n",Sevilla,"La Palmilla, Doctor Marañón",Andalucía
madrid,Aguilas,Madrid,Águilas,Comunidad de Madrid
valencia,NATZARET,Valencia,Nazaret,Comunidad Valenciana
sevilla,"Barrio Le�n",Sevilla,"Barrio León",Andalucía
malaga,"Puerto de la Torre",Málaga,"Puerto de la Torre",Andalucía
girona,"Fontanals de Cerdanya",Girona,"Fontanals de Cerdanya",Cataluña
girona,"Riells i Viabrea",Girona,"Riells i Viabrea",Cataluña
barcelona,"la Sagrera",Barcelona,"La Sagrera",Cataluña
madrid,Butarque,Madrid,Butarque,Comunidad de Madrid
girona,Bolvir,Girona,Bolvir,Cataluña
barcelona,"Sant Andreu",Barcelona,"Sant Andreu",Cataluña
madrid,Canillejas,Madrid,Canillejas,Comunidad de Madrid
girona,"Les Llosses",Girona,"Les Llosses",Cataluña
girona,Puigcerd�,Girona,Puigcerdà,Cataluña
sevilla,"El Tard�n, El Carmen",Sevilla,"El Tardón, El Carmen",Andalucía
madrid,Hell�n,Madrid,Hellín,Comunidad de Madrid
girona,"Santa Pau",Girona,"Santa Pau",Cataluña
girona,"Sant Joan de les Abadesses",Girona,"Sant Joan de les Abadesses",Cataluña
valencia,"CIUTAT FALLERA",Valencia,"Ciutat Fallera",Comunidad Valenciana
madrid,Opa�el,Madrid,Opáñel,Comunidad de Madrid
girona,"Sant Mart� de Ll�mena",Girona,"Sant Martí de Llémena",Cataluña
valencia,"LA PETXINA",Valencia,"La Petxina",Comunidad Valenciana
valencia,FAITANAR,Valencia,Faitanar,Comunidad Valenciana
sevilla,"El Cerro",Sevilla,"El Cerro",Andalucía
barcelona,"la Font d'en Fargues",Barcelona,"La Font d'en Fargues",Cataluña
valencia,"L'HORT DE SENABRE",Valencia,"L'Hort de Senabre",Comunidad Valenciana
barcelona,"les Roquetes",Barcelona,"Les Roquetes",Cataluña
madrid,Arcos,Madrid,Arcos,Comunidad de Madrid
valencia,BENIMAMET,Valencia,Benimamet,Comunidad Valenciana
girona,Foix�,Girona,Foixà,Cataluña
madrid,"Casco Hist�rico de Vic�lvaro",Madrid,Vicálvaro,Comunidad de Madrid
madrid,Lucero,Madrid,Lucero,Comunidad de Madrid
girona,Ger,Girona,Ger,Cataluña
girona,Cantallops,Girona,Cantallops,Cataluña
girona,Navata,Girona,Navata,Cataluña
girona,"La Tallada d'Empord�",Girona,"La Tallada d'Empordà",Cataluña
girona,Colera,Girona,Colera,Cataluña
mallorca,Porreres,Palma,Porreres,Islas Baleares
madrid,Rejas,Madrid,Rejas,Comunidad de Madrid
